synset,ili,pos,definition,examples,lemmas,pt_lemmas,hypernyms,hyponyms,min_depth,max_depth
oewn-04516887-n,i60712,n,clothing of distinctive design worn by members of a particular group as a means of identification,,uniform,farda|fardamento|uniforme,oewn-03055525-n,oewn-03610717-n|oewn-03684500-n|oewn-03769503-n,7,8
oewn-02336782-v,i33388,v,provide with uniforms,The guards were uniformed,uniform,,oewn-02332196-v,,6,6
oewn-01973553-a,i10771,a,always the same; showing a single form or character in all occurrences,a street of uniform tall white buildings,uniform|unvarying,invariável|uniforme,,,0,0
oewn-00748118-a,i4126,a,not differentiated,,undifferentiated|uniform,,,,0,0
